"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"1",13,"G","Green tea",1.799,2.024,0.226,NA,"Belanger","A9","Organic","N-8-0-0",30,1,NA,NA,NA,0.863424053
"2",14,"G","Green tea",1.798,2.027,0.229,0.768,"Belanger","A9","Organic","N-8-0-0",30,1,49.661,5.2464,0.286,0.862944107
"3",15,"G","Green tea",1.795,2.023,0.228,NA,"Belanger","A9","Organic","N-8-0-0",30,1,NA,NA,NA,0.861504267
"4",16,"G","Green tea",1.769,1.996,0.228,0.743,"Belanger","A9","Organic","N-8-0-0",30,2,50.512,5.2547,0.292,0.849025653
"5",17,"G","Green tea",1.766,1.994,0.227,0.804,"Belanger","A9","Organic","N-8-0-0",30,2,49.708,5.0434,0.275,0.847585813
"6",18,"G","Green tea",1.792,2.019,0.227,0.833,"Belanger","A9","Organic","N-8-0-0",30,2,49.638,5.0262,0.279,0.860064427
"7",19,"G","Green tea",1.766,1.992,0.226,0.7,"Belanger","A9","Organic","N-8-0-0",45,1,48.953,4.9144,0.285,0.847585813
"8",20,"G","Green tea",1.781,2.007,0.226,0.809,"Belanger","A9","Organic","N-8-0-0",45,1,50.151,4.3896,0.258,0.854785013
"9",21,"G","Green tea",1.765,1.994,0.228,0.723,"Belanger","A9","Organic","N-8-0-0",45,1,50.076,3.7431,0.23,0.847105867
"10",22,"G","Green tea",1.774,2.002,0.229,NA,"Belanger","A9","Organic","N-8-0-0",45,2,NA,NA,NA,0.851425387
"11",23,"G","Green tea",1.779,2.007,0.228,0.751,"Belanger","A9","Organic","N-8-0-0",45,2,49.958,5.1213,0.285,0.85382512
"12",24,"G","Green tea",1.771,1.998,0.226,1.291,"Belanger","A9","Organic","N-8-0-0",45,2,NA,NA,NA,0.849985547
"13",25,"G","Green tea",1.797,2.023,0.226,0.859,"Belanger","A9","Organic","N-8-0-0",60,1,49.798,3.9277,0.238,0.86246416
"14",26,"G","Green tea",1.793,2.02,0.227,0.789,"Belanger","A9","Organic","N-8-0-0",60,1,NA,NA,NA,0.860544373
"15",27,"G","Green tea",1.771,2,0.229,NA,"Belanger","A9","Organic","N-8-0-0",60,1,NA,NA,NA,0.849985547
"16",28,"G","Green tea",1.792,2.019,0.227,0.828,"Belanger","A9","Organic","N-8-0-0",60,2,50.266,3.9173,0.257,0.860064427
"17",29,"G","Green tea",1.766,1.994,0.228,0.774,"Belanger","A9","Organic","N-8-0-0",60,2,49.6,5.325,0.284,0.847585813
"18",30,"G","Green tea",1.787,2.015,0.227,0.826,"Belanger","A9","Organic","N-8-0-0",60,2,50.567,4.8376,0.266,0.857664693
"19",31,"G","Green tea",1.778,2.002,0.226,0.744,"Belanger","A9","Organic","N-6-1-1",60,2,50.361,4.9564,0.272,0.853345173
"20",32,"G","Green tea",1.751,1.979,0.228,NA,"Belanger","A9","Organic","N-6-1-1",60,2,NA,NA,NA,0.840386613
"21",33,"G","Green tea",1.789,2.016,0.227,0.803,"Belanger","A9","Organic","N-6-1-1",45,2,49.746,5.2747,0.288,0.858624587
"22",34,"G","Green tea",1.76,1.988,0.228,1.316,"Belanger","A9","Organic","N-6-1-1",45,2,50.147,5.3952,0.282,0.844706133
"23",35,"G","Green tea",1.786,2.015,0.228,0.799,"Belanger","A9","Organic","N-6-1-1",30,2,47.897,4.8253,0.258,0.857184747
"24",36,"G","Green tea",1.792,2.019,0.227,0.813,"Belanger","A9","Organic","N-6-1-1",30,2,48.915,4.7691,0.272,0.860064427
"25",13,"S","Rooibos tea",1.896,2.126,0.23,1.507,"Belanger","A9","Organic","N-8-0-0",30,1,45.6,0.69923,0.0254,0.90613
"26",14,"S","Rooibos tea",1.91,2.137,0.227,1.459,"Belanger","A9","Organic","N-8-0-0",30,1,46.94,0.84806,0.0356,0.912820833
"27",15,"S","Rooibos tea",1.918,2.146,0.228,1.465,"Belanger","A9","Organic","N-8-0-0",30,1,46.415,0.83329,0.042,0.916644167
"28",16,"S","Rooibos tea",1.901,2.13,0.23,1.39,"Belanger","A9","Organic","N-8-0-0",30,2,46.451,0.82498,0.0311,0.908519583
"29",17,"S","Rooibos tea",1.899,2.127,0.228,1.444,"Belanger","A9","Organic","N-8-0-0",30,2,45.502,0.7767,0.0318,0.90756375
"30",18,"S","Rooibos tea",1.904,2.132,0.227,1.398,"Belanger","A9","Organic","N-8-0-0",30,2,43.972,0.63764,0.0254,0.909953333
"31",19,"S","Rooibos tea",1.91,2.138,0.228,1.318,"Belanger","A9","Organic","N-8-0-0",45,1,50.197,1.0435,0.0386,0.912820833
"32",20,"S","Rooibos tea",1.897,2.128,0.231,NA,"Belanger","A9","Organic","N-8-0-0",45,1,NA,NA,NA,0.906607917
"33",21,"S","Rooibos tea",1.917,2.143,0.226,1.442,"Belanger","A9","Organic","N-8-0-0",45,1,46.684,0.68682,0.0198,0.91616625
"34",22,"S","Rooibos tea",1.918,2.145,0.228,1.394,"Belanger","A9","Organic","N-8-0-0",45,2,48.972,0.58367,0.015,0.916644167
"35",23,"S","Rooibos tea",1.893,2.122,0.229,1.473,"Belanger","A9","Organic","N-8-0-0",45,2,49.874,0.72113,0.0214,0.90469625
"36",24,"S","Rooibos tea",1.914,2.141,0.227,NA,"Belanger","A9","Organic","N-8-0-0",45,2,NA,NA,NA,0.9147325
"37",25,"S","Rooibos tea",1.895,2.122,0.226,1.394,"Belanger","A9","Organic","N-8-0-0",60,1,45.871,0.67665,0.0344,0.905652083
"38",26,"S","Rooibos tea",1.919,2.143,0.226,1.464,"Belanger","A9","Organic","N-8-0-0",60,1,47.175,0.65084,0.0179,0.917122083
"39",27,"S","Rooibos tea",1.896,2.123,0.226,1.448,"Belanger","A9","Organic","N-8-0-0",60,1,49.636,0.98351,0.0378,0.90613
"40",28,"S","Rooibos tea",1.918,2.145,0.227,1.463,"Belanger","A9","Organic","N-8-0-0",60,2,47.1,0.83206,0.0364,0.916644167
"41",29,"S","Rooibos tea",1.914,2.141,0.227,1.41,"Belanger","A9","Organic","N-8-0-0",60,2,47.463,0.6474,0.0184,0.9147325
"42",30,"S","Rooibos tea",1.916,2.142,0.227,NA,"Belanger","A9","Organic","N-8-0-0",60,2,44.325,0.62286,0.0186,0.915688333
"43",31,"S","Rooibos tea",1.918,2.145,0.226,1.453,"Belanger","A9","Organic","N-6-1-1",60,2,44.485,0.61915,0.0206,0.916644167
"44",32,"S","Rooibos tea",1.891,2.118,0.227,1.286,"Belanger","A9","Organic","N-6-1-1",60,2,42.687,0.89221,0.0463,0.903740417
"45",33,"S","Rooibos tea",1.9,2.125,0.226,1.322,"Belanger","A9","Organic","N-6-1-1",45,2,45.836,0.82029,0.0359,0.908041667
"46",34,"S","Rooibos tea",1.904,2.132,0.227,1.439,"Belanger","A9","Organic","N-6-1-1",45,2,47.973,0.7155,0.0226,0.909953333
"47",35,"S","Rooibos tea",1.894,2.122,0.228,1.502,"Belanger","A9","Organic","N-6-1-1",30,2,48.809,0.93119,0.0366,0.905174167
"48",36,"S","Rooibos tea",1.92,2.146,0.226,1.489,"Belanger","A9","Organic","N-6-1-1",30,2,43.227,0.64575,0.0269,0.9176
"49",166,"G","Green tea",1.786,2.013,0.227,0.658,"Belanger","10","Conventional","N-21-0-0",30,1,51.581,4.4809,0.259,0.857184747
"50",167,"G","Green tea",1.776,2.003,0.227,0.751,"Belanger","10","Conventional","N-21-0-0",30,1,50.195,3.946,0.243,0.85238528
"51",168,"G","Green tea",1.788,2.013,0.227,0.732,"Belanger","10","Conventional","N-21-0-0",30,1,51.353,4.4647,0.26,0.85814464
"52",169,"G","Green tea",1.781,2.008,0.227,NA,"Belanger","10","Conventional","N-21-0-0",30,1,NA,NA,NA,0.854785013
"53",170,"G","Green tea",1.78,2.007,0.227,0.616,"Belanger","10","Conventional","N-21-0-0",30,2,51.042,4.739,0.277,0.854305067
"54",171,"G","Green tea",1.761,1.99,0.229,0.778,"Belanger","10","Conventional","N-21-0-0",30,2,49.976,4.9552,0.276,0.84518608
"55",172,"G","Green tea",1.76,1.983,0.226,0.645,"Belanger","10","Conventional","N-21-0-0",30,2,47.521,4.1047,0.243,0.844706133
"56",173,"G","Green tea",1.77,1.998,0.228,0.801,"Belanger","10","Conventional","N-21-0-0",45,1,49.761,4.9617,0.268,0.8495056
"57",174,"G","Green tea",1.769,1.995,0.227,0.765,"Belanger","10","Conventional","N-21-0-0",45,1,49.665,4.652,0.27,0.849025653
"58",175,"G","Green tea",1.765,1.993,0.228,0.723,"Belanger","10","Conventional","N-21-0-0",45,1,51.41,4.7341,0.265,0.847105867
"59",176,"G","Green tea",1.778,2.004,0.226,0.709,"Belanger","10","Conventional","N-21-0-0",45,2,50.389,4.8017,0.272,0.853345173
"60",177,"G","Green tea",1.781,2.008,0.228,0.803,"Belanger","10","Conventional","N-21-0-0",45,2,51.256,4.9288,0.28,0.854785013
"61",178,"G","Green tea",1.793,2.022,0.228,0.714,"Belanger","10","Conventional","N-21-0-0",45,2,50.469,4.6108,0.261,0.860544373
"62",179,"G","Green tea",1.786,2.012,0.226,0.744,"Belanger","10","Conventional","N-21-0-0",60,1,49.823,4.501,0.263,0.857184747
"63",180,"G","Green tea",1.799,2.023,0.224,0.851,"Belanger","10","Conventional","N-21-0-0",60,1,49.642,4.3622,0.245,0.863424053
"64",181,"G","Green tea",1.766,1.995,0.229,0.702,"Belanger","10","Conventional","N-21-0-0",60,1,49.494,4.2817,0.257,0.847585813
"65",182,"G","Green tea",1.754,1.981,0.228,0.769,"Belanger","10","Conventional","N-21-0-0",60,2,50.26,4.6585,0.251,0.841826453
"66",183,"G","Green tea",1.77,1.997,0.227,0.74,"Belanger","10","Conventional","N-21-0-0",60,2,49.869,4.6119,0.258,0.8495056
"67",184,"G","Green tea",1.796,2.019,0.227,NA,"Belanger","10","Conventional","N-21-0-0",60,2,NA,NA,NA,0.861984213
"68",185,"G","Green tea",1.787,2.012,0.227,0.714,"Belanger","10","Conventional","N-SCU",45,2,49.986,4.2273,0.262,0.857664693
"69",186,"G","Green tea",1.777,2.002,0.225,0.692,"Belanger","10","Conventional","N-SCU",45,2,51.621,4.7403,0.261,0.852865227
"70",187,"G","Green tea",1.791,2.018,0.227,0.732,"Belanger","10","Conventional","N-SCU",60,2,50.99,5.2118,0.286,0.85958448
"71",188,"G","Green tea",1.773,2.001,0.229,0.784,"Belanger","10","Conventional","N-SCU",60,2,48.909,4.4888,0.262,0.85094544
"72",189,"G","Green tea",1.792,2.022,0.229,0.734,"Belanger","10","Conventional","N-SCU",30,2,51.244,4.4671,0.26,0.860064427
"73",190,"G","Green tea",1.783,2.011,0.227,0.825,"Belanger","10","Conventional","N-SCU",30,2,48.862,4.2277,0.279,0.855744907
"74",130,"S","Rooibos tea",1.908,2.134,0.225,1.574,"Belanger","10","Conventional","N-21-0-0",30,1,49.238,0.85701,0.024,0.911865
"75",131,"S","Rooibos tea",1.916,2.142,0.226,1.565,"Belanger","10","Conventional","N-21-0-0",30,1,47.384,1.009,0.0392,0.915688333
"76",132,"S","Rooibos tea",1.891,2.116,0.226,1.573,"Belanger","10","Conventional","N-21-0-0",30,1,50.184,0.85323,0.0354,0.903740417
"77",133,"S","Rooibos tea",1.906,2.132,0.225,1.446,"Belanger","10","Conventional","N-21-0-0",30,2,48.252,0.99285,0.0532,0.910909167
"78",134,"S","Rooibos tea",1.909,2.136,0.228,1.566,"Belanger","10","Conventional","N-21-0-0",30,2,49.42,1.1357,0.0442,0.912342917
"79",135,"S","Rooibos tea",1.906,2.132,0.227,1.54,"Belanger","10","Conventional","N-21-0-0",30,2,46.033,0.9933,0.0372,0.910909167
"80",136,"S","Rooibos tea",1.913,2.139,0.226,1.571,"Belanger","10","Conventional","N-21-0-0",45,1,46.488,0.9111,0.0319,0.914254583
"81",137,"S","Rooibos tea",1.92,2.148,0.228,1.534,"Belanger","10","Conventional","N-21-0-0",45,1,50.148,1.0239,0.0309,0.9176
"82",138,"S","Rooibos tea",1.917,2.142,0.226,1.601,"Belanger","10","Conventional","N-21-0-0",45,1,45.778,0.86956,0.029,0.91616625
"83",139,"S","Rooibos tea",1.893,2.119,0.226,1.406,"Belanger","10","Conventional","N-21-0-0",45,2,48.147,1.0639,0.0567,0.90469625
"84",140,"S","Rooibos tea",1.893,2.117,0.225,1.349,"Belanger","10","Conventional","N-21-0-0",45,2,50.116,1.189,0.0509,0.90469625
"85",141,"S","Rooibos tea",1.901,2.127,0.226,1.5,"Belanger","10","Conventional","N-21-0-0",45,2,46.755,0.94695,0.0339,0.908519583
"86",142,"S","Rooibos tea",1.92,2.146,0.226,1.596,"Belanger","10","Conventional","N-21-0-0",60,1,46.96,0.93495,0.0358,0.9176
"87",143,"S","Rooibos tea",1.906,2.132,0.226,1.473,"Belanger","10","Conventional","N-21-0-0",60,1,47.501,0.9949,0.0502,0.910909167
"88",144,"S","Rooibos tea",1.912,2.138,0.225,1.516,"Belanger","10","Conventional","N-21-0-0",60,1,49.119,1.0393,0.0401,0.913776667
"89",145,"S","Rooibos tea",1.915,2.14,0.226,1.49,"Belanger","10","Conventional","N-21-0-0",60,2,45.212,0.75637,0.0304,0.915210417
"90",146,"S","Rooibos tea",1.916,2.142,0.226,1.645,"Belanger","10","Conventional","N-21-0-0",60,2,46.862,0.87316,0.0246,0.915688333
"91",147,"S","Rooibos tea",1.89,2.116,0.226,1.524,"Belanger","10","Conventional","N-21-0-0",60,2,46.998,1.0677,0.0375,0.9032625
"92",148,"S","Rooibos tea",1.899,2.127,0.227,1.391,"Belanger","10","Conventional","N-SCU",45,2,47.002,1.0066,0.0566,0.90756375
"93",149,"S","Rooibos tea",1.912,2.139,0.227,1.446,"Belanger","10","Conventional","N-SCU",45,2,46.87,0.89954,0.0337,0.913776667
"94",150,"S","Rooibos tea",1.908,2.138,0.231,1.534,"Belanger","10","Conventional","N-SCU",60,2,47.358,0.97108,0.0429,0.911865
"95",151,"S","Rooibos tea",1.919,2.145,0.226,1.615,"Belanger","10","Conventional","N-SCU",60,2,48.368,0.97371,0.034,0.917122083
"96",152,"S","Rooibos tea",1.903,2.129,0.226,1.598,"Belanger","10","Conventional","N-SCU",30,2,46.394,0.91746,0.0356,0.909475417
"97",153,"S","Rooibos tea",1.919,2.144,0.226,1.518,"Belanger","10","Conventional","N-SCU",30,2,46.134,0.99378,0.0341,0.917122083
"98",637,"G","Green tea",1.785,2.152,0.365,0.702,"Fortier","9","Conventional","N-21-0-0",30,1,42.055,4.0556,0.232,0.8567048
"99",638,"G","Green tea",1.778,2.144,0.366,0.582,"Fortier","9","Conventional","N-21-0-0",30,1,50.02,4.3624,0.272,0.853345173
"100",639,"G","Green tea",1.8,2.161,0.361,0.669,"Fortier","9","Conventional","N-21-0-0",30,1,49.777,4.8316,0.272,0.863904
"101",640,"G","Green tea",1.796,2.154,0.357,0.784,"Fortier","9","Conventional","N-21-0-0",30,2,50.58,5.1024,0.285,0.861984213
"102",641,"G","Green tea",1.754,2.117,0.363,0.629,"Fortier","9","Conventional","N-21-0-0",30,2,49.088,4.4936,0.272,0.841826453
"103",642,"G","Green tea",1.751,2.111,0.36,0.592,"Fortier","9","Conventional","N-21-0-0",30,2,50.609,4.0937,0.259,0.840386613
"104",643,"G","Green tea",1.789,2.148,0.359,0.682,"Fortier","9","Conventional","N-21-0-0",45,1,46.35,3.4626,0.222,0.858624587
"105",644,"G","Green tea",1.759,2.121,0.361,0.572,"Fortier","9","Conventional","N-21-0-0",45,1,48.103,3.8768,0.243,0.844226187
"106",645,"G","Green tea",1.759,2.131,0.371,0.579,"Fortier","9","Conventional","N-21-0-0",45,1,51.263,3.97,0.263,0.844226187
"107",646,"G","Green tea",1.768,2.127,0.36,0.694,"Fortier","9","Conventional","N-21-0-0",45,2,49.448,4.7202,0.272,0.848545707
"108",647,"G","Green tea",1.783,2.148,0.365,0.564,"Fortier","9","Conventional","N-21-0-0",45,2,50.994,4.0679,0.252,0.855744907
"109",648,"G","Green tea",1.79,2.155,0.365,0.851,"Fortier","9","Conventional","N-21-0-0",45,2,48.724,4.8823,0.262,0.859104533
"110",649,"G","Green tea",1.776,2.136,0.361,0.678,"Fortier","9","Conventional","N-21-0-0",60,1,47.983,3.2594,0.231,0.85238528
"111",650,"G","Green tea",1.753,2.115,0.361,NA,"Fortier","9","Conventional","N-21-0-0",60,1,NA,NA,NA,0.841346507
"112",651,"G","Green tea",1.77,2.132,0.362,NA,"Fortier","9","Conventional","N-21-0-0",60,1,NA,NA,NA,0.8495056
"113",652,"G","Green tea",1.799,2.162,0.363,0.677,"Fortier","9","Conventional","N-21-0-0",60,2,44.782,3.2432,0.21,0.863424053
"114",653,"G","Green tea",1.79,2.149,0.36,0.709,"Fortier","9","Conventional","N-21-0-0",60,2,48.637,3.799,0.219,0.859104533
"115",654,"G","Green tea",1.791,2.146,0.355,0.467,"Fortier","9","Conventional","N-21-0-0",60,2,44.632,3.5701,0.257,0.85958448
"116",841,"G","Green tea",1.769,2.122,0.357,0.803,"Fortier","45","Conventional","N-21-0-0",30,1,50.548,5.1077,0.315,0.849025653
"117",842,"G","Green tea",1.774,2.13,0.37,0.738,"Fortier","45","Conventional","N-21-0-0",30,1,51.345,4.7929,0.294,0.851425387
"118",843,"G","Green tea",1.757,2.113,0.355,0.553,"Fortier","45","Conventional","N-21-0-0",30,1,47.013,3.4768,0.253,0.843266293
"119",844,"G","Green tea",1.761,2.116,0.355,NA,"Fortier","45","Conventional","N-21-0-0",30,2,NA,NA,NA,0.84518608
"120",845,"G","Green tea",1.781,2.135,0.355,0.83,"Fortier","45","Conventional","N-21-0-0",30,2,44.017,3.5534,0.256,0.854785013
"121",846,"G","Green tea",1.788,2.146,0.357,0.847,"Fortier","45","Conventional","N-21-0-0",30,2,50.818,5.0089,0.293,0.85814464
"122",847,"G","Green tea",1.799,2.162,0.363,0.772,"Fortier","45","Conventional","N-21-0-0",45,1,50.201,4.795,0.297,0.863424053
"123",848,"G","Green tea",1.792,2.151,0.359,0.858,"Fortier","45","Conventional","N-21-0-0",45,1,46.212,3.9897,0.301,0.860064427
"124",849,"G","Green tea",1.791,2.15,0.359,0.904,"Fortier","45","Conventional","N-21-0-0",45,1,47.033,4.7959,0.318,0.85958448
"125",850,"G","Green tea",1.768,2.124,0.356,0.753,"Fortier","45","Conventional","N-21-0-0",45,2,51.906,4.5151,0.28,0.848545707
"126",851,"G","Green tea",1.763,2.123,0.36,0.738,"Fortier","45","Conventional","N-21-0-0",45,2,50.547,4.0679,0.256,0.846145973
"127",852,"G","Green tea",1.795,2.164,0.368,0.805,"Fortier","45","Conventional","N-21-0-0",45,2,51.647,4.8294,0.299,0.861504267
"128",853,"G","Green tea",1.772,2.131,0.357,0.754,"Fortier","45","Conventional","N-21-0-0",60,1,50.239,4.7838,0.293,0.850465493
"129",854,"G","Green tea",1.794,2.145,0.353,0.796,"Fortier","45","Conventional","N-21-0-0",60,1,50.191,4.0365,0.264,0.86102432
"130",855,"G","Green tea",1.772,2.131,0.359,0.781,"Fortier","45","Conventional","N-21-0-0",60,1,50.945,4.421,0.269,0.850465493
"131",856,"G","Green tea",1.764,2.118,0.354,0.817,"Fortier","45","Conventional","N-21-0-0",60,2,44.363,3.7301,0.33,0.84662592
"132",857,"G","Green tea",1.773,2.128,0.352,0.717,"Fortier","45","Conventional","N-21-0-0",60,2,50.583,3.6961,0.285,0.85094544
"133",858,"G","Green tea",1.771,2.132,0.359,0.869,"Fortier","45","Conventional","N-21-0-0",60,2,48.501,4.4927,0.27,0.849985547
"134",1243,"G","Green tea",1.778,2.135,0.358,0.619,"Fortier","9","Conventional","N-SCU",30,2,50.781,4.4079,0.249,0.853345173
"135",1244,"G","Green tea",1.797,2.159,0.362,0.675,"Fortier","9","Conventional","N-SCU",30,2,47.013,4.0061,0.245,0.86246416
"136",1245,"G","Green tea",1.804,2.165,0.361,0.64,"Fortier","9","Conventional","N-SCU",45,2,48.548,3.894,0.248,0.865823787
"137",1246,"G","Green tea",1.79,2.149,0.36,0.636,"Fortier","9","Conventional","N-SCU",45,2,50.534,3.9981,0.261,0.859104533
"138",1247,"G","Green tea",1.779,2.138,0.359,0.687,"Fortier","9","Conventional","N-SCU",60,2,47.355,4.6058,0.265,0.85382512
