"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"139",1248,"G","Green tea",1.75,2.104,0.354,0.63,"Fortier","9","Conventional","N-SCU",60,2,48.63,4.638,0.276,0.839906667
"140",403,"S","Rooibos tea",1.919,2.28,0.361,1.557,"Fortier","9","Conventional","N-21-0-0",30,1,46.514,0.87969,0.0308,0.917122083
"141",404,"S","Rooibos tea",1.905,2.261,0.355,1.319,"Fortier","9","Conventional","N-21-0-0",30,1,46.157,0.78784,0.0335,0.91043125
"142",405,"S","Rooibos tea",1.909,2.261,0.351,1.274,"Fortier","9","Conventional","N-21-0-0",30,1,47.268,0.63065,0.0147,0.912342917
"143",406,"S","Rooibos tea",1.889,2.244,0.355,1.173,"Fortier","9","Conventional","N-21-0-0",30,2,50.581,1.1526,0.0609,0.902784583
"144",407,"S","Rooibos tea",1.92,2.282,0.363,NA,"Fortier","9","Conventional","N-21-0-0",30,2,NA,NA,NA,0.9176
"145",408,"S","Rooibos tea",1.913,2.275,0.362,1.278,"Fortier","9","Conventional","N-21-0-0",30,2,46.261,1.1354,0.0527,0.914254583
"146",409,"S","Rooibos tea",1.928,2.289,0.361,1.358,"Fortier","9","Conventional","N-21-0-0",45,1,45.117,0.7964,0.0278,0.921423333
"147",410,"S","Rooibos tea",1.925,2.284,0.36,1.338,"Fortier","9","Conventional","N-21-0-0",45,1,45.707,0.78982,0.0303,0.919989583
"148",411,"S","Rooibos tea",1.922,2.281,0.36,1.485,"Fortier","9","Conventional","N-21-0-0",45,1,41.814,0.91768,0.0406,0.918555833
"149",412,"S","Rooibos tea",1.92,2.283,0.363,1.424,"Fortier","9","Conventional","N-21-0-0",45,2,47.132,0.67525,0.0105,0.9176
"150",413,"S","Rooibos tea",1.902,2.26,0.357,1.538,"Fortier","9","Conventional","N-21-0-0",45,2,48.187,0.79626,0.0192,0.9089975
"151",414,"S","Rooibos tea",1.893,2.255,0.362,1.349,"Fortier","9","Conventional","N-21-0-0",45,2,45.592,0.91926,0.0329,0.90469625
"152",415,"S","Rooibos tea",1.911,2.279,0.367,1.266,"Fortier","9","Conventional","N-21-0-0",60,1,46.939,0.77745,0.0284,0.91329875
"153",416,"S","Rooibos tea",1.897,2.256,0.358,1.209,"Fortier","9","Conventional","N-21-0-0",60,1,47.576,0.93114,0.0386,0.906607917
"154",417,"S","Rooibos tea",1.918,2.279,0.362,1.299,"Fortier","9","Conventional","N-21-0-0",60,1,47.033,0.81894,0.0315,0.916644167
"155",418,"S","Rooibos tea",1.923,2.282,0.359,1.341,"Fortier","9","Conventional","N-21-0-0",60,2,47.994,0.82309,0.0328,0.91903375
"156",419,"S","Rooibos tea",1.913,2.27,0.357,1.279,"Fortier","9","Conventional","N-21-0-0",60,2,47.802,0.85905,0.0291,0.914254583
"157",420,"S","Rooibos tea",1.903,2.262,0.358,NA,"Fortier","9","Conventional","N-21-0-0",60,2,NA,NA,NA,0.909475417
"158",535,"S","Rooibos tea",1.889,2.248,0.36,1.298,"Fortier","45","Conventional","N-21-0-0",30,1,45.827,1.0734,0.0915,0.902784583
"159",536,"S","Rooibos tea",1.894,2.255,0.361,1.297,"Fortier","45","Conventional","N-21-0-0",30,1,45.185,0.95828,0.0883,0.905174167
"160",537,"S","Rooibos tea",1.92,2.277,0.357,1.316,"Fortier","45","Conventional","N-21-0-0",30,1,46.583,0.93804,0.0664,0.9176
"161",538,"S","Rooibos tea",1.912,2.274,0.361,1.369,"Fortier","45","Conventional","N-21-0-0",30,2,44.983,0.82848,0.0849,0.913776667
"162",539,"S","Rooibos tea",1.924,2.279,0.355,1.389,"Fortier","45","Conventional","N-21-0-0",30,2,44.722,0.88329,0.0838,0.919511667
"163",540,"S","Rooibos tea",1.903,2.262,0.359,1.5,"Fortier","45","Conventional","N-21-0-0",30,2,44.727,0.9086,0.073,0.909475417
"164",541,"S","Rooibos tea",1.924,2.276,0.352,1.304,"Fortier","45","Conventional","N-21-0-0",45,1,46.833,0.97446,0.0933,0.919511667
"165",542,"S","Rooibos tea",1.893,2.253,0.359,1.458,"Fortier","45","Conventional","N-21-0-0",45,1,45.34,1.0204,0.0787,0.90469625
"166",543,"S","Rooibos tea",1.923,2.278,0.355,1.47,"Fortier","45","Conventional","N-21-0-0",45,1,50.215,1.0171,0.161,0.91903375
"167",544,"S","Rooibos tea",1.91,2.275,0.365,1.445,"Fortier","45","Conventional","N-21-0-0",45,2,45.395,1.0093,0.0795,0.912820833
"168",545,"S","Rooibos tea",1.915,2.275,0.361,1.435,"Fortier","45","Conventional","N-21-0-0",45,2,44.406,0.98229,0.088,0.915210417
"169",546,"S","Rooibos tea",1.91,2.266,0.356,1.43,"Fortier","45","Conventional","N-21-0-0",45,2,45.959,1.0391,0.0953,0.912820833
"170",547,"S","Rooibos tea",1.891,2.247,0.356,1.437,"Fortier","45","Conventional","N-21-0-0",60,1,47.543,0.96472,0.0815,0.903740417
"171",548,"S","Rooibos tea",1.9,2.26,0.36,1.228,"Fortier","45","Conventional","N-21-0-0",60,1,46.787,0.98781,0.0866,0.908041667
"172",549,"S","Rooibos tea",1.913,2.278,0.364,1.389,"Fortier","45","Conventional","N-21-0-0",60,1,45.24,1.0139,0.095,0.914254583
"173",550,"S","Rooibos tea",1.907,2.264,0.357,1.341,"Fortier","45","Conventional","N-21-0-0",60,2,48.123,0.92958,0.102,0.911387083
"174",551,"S","Rooibos tea",1.918,2.269,0.352,1.391,"Fortier","45","Conventional","N-21-0-0",60,2,45.65,1.0164,0.0869,0.916644167
"175",552,"S","Rooibos tea",1.905,2.253,0.348,1.384,"Fortier","45","Conventional","N-21-0-0",60,2,47.642,1.0902,0.0888,0.91043125
"176",793,"S","Rooibos tea",1.915,2.273,0.359,1.268,"Fortier","9","Conventional","N-6-1-1",30,2,46.973,0.84612,0.0408,0.915210417
"177",794,"S","Rooibos tea",1.926,2.293,0.366,1.369,"Fortier","9","Conventional","N-6-1-1",30,2,43.042,0.73255,0.0236,0.9204675
"178",795,"S","Rooibos tea",1.923,2.285,0.362,1.273,"Fortier","9","Conventional","N-6-1-1",45,2,47.308,1.1222,0.0435,0.91903375
"179",796,"S","Rooibos tea",1.911,2.277,0.366,1.117,"Fortier","9","Conventional","N-6-1-1",45,2,44.191,1.1311,0.049,0.91329875
"180",797,"S","Rooibos tea",1.92,2.283,0.364,1.243,"Fortier","9","Conventional","N-6-1-1",60,2,46.479,1.0038,0.0416,0.9176
"181",798,"S","Rooibos tea",1.92,2.282,0.362,1.286,"Fortier","9","Conventional","N-6-1-1",60,2,42.541,0.94562,0.0276,0.9176
"182",1,"N","Cranberry litter",1.886,2.25,0.364,1.882,"Belanger","A9","Organic","N-6-1-1",60,2,49.063,0.68647,0.0386,0.94362238
"183",2,"N","Cranberry litter",1.928,2.288,0.358,1.873,"Belanger","A9","Organic","N-6-1-1",60,2,48.953,0.73003,0.0319,0.96463624
"184",3,"N","Cranberry litter",1.882,2.238,0.356,1.477,"Belanger","A9","Organic","N-6-1-1",45,2,46.902,0.66729,0.0292,0.94162106
"185",4,"N","Cranberry litter",1.91,2.266,0.354,1.907,"Belanger","A9","Organic","N-6-1-1",45,2,49.316,0.70503,0.0376,0.9556303
"186",5,"N","Cranberry litter",1.897,2.26,0.362,1.917,"Belanger","A9","Organic","N-6-1-1",30,2,48.922,0.80019,0.0403,0.94912601
"187",6,"N","Cranberry litter",1.93,2.289,0.358,1.966,"Belanger","A9","Organic","N-6-1-1",30,2,48.652,0.66524,0.0304,0.9656369
"188",13,"N","Cranberry litter",1.915,2.274,0.359,1.833,"Belanger","A9","Organic","N-8-0-0",30,1,45.787,0.62231,0.0276,0.95813195
"189",14,"N","Cranberry litter",1.92,2.279,0.357,1.987,"Belanger","A9","Organic","N-8-0-0",30,1,46.03,0.70791,0.0434,0.9606336
"190",15,"N","Cranberry litter",1.905,2.27,0.364,1.918,"Belanger","A9","Organic","N-8-0-0",30,1,49.3,0.70714,0.0346,0.95312865
"191",16,"N","Cranberry litter",1.908,2.275,0.369,1.918,"Belanger","A9","Organic","N-8-0-0",30,2,47.82,0.64509,0.0307,0.95462964
"192",17,"N","Cranberry litter",1.921,2.282,0.361,1.951,"Belanger","A9","Organic","N-8-0-0",30,2,48.468,0.67954,0.0297,0.96113393
"193",18,"N","Cranberry litter",1.896,2.262,0.366,1.944,"Belanger","A9","Organic","N-8-0-0",30,2,48.462,0.69446,0.0349,0.94862568
"194",19,"N","Cranberry litter",1.917,2.275,0.358,2.004,"Belanger","A9","Organic","N-8-0-0",60,1,45.975,1.8559,0.0896,0.95913261
"195",20,"N","Cranberry litter",1.918,2.283,0.365,1.953,"Belanger","A9","Organic","N-8-0-0",60,1,49.211,0.75332,0.0353,0.95963294
"196",21,"N","Cranberry litter",1.911,2.276,0.365,1.914,"Belanger","A9","Organic","N-8-0-0",60,1,48.723,0.736,0.0348,0.95613063
"197",22,"N","Cranberry litter",1.899,2.263,0.364,1.389,"Belanger","A9","Organic","N-8-0-0",60,2,48.299,0.7157,0.034,0.95012667
"198",23,"N","Cranberry litter",1.89,2.248,0.358,1.44,"Belanger","A9","Organic","N-8-0-0",60,2,48.98,0.71359,0.0324,0.9456237
"199",24,"N","Cranberry litter",1.888,2.248,0.36,NA,"Belanger","A9","Organic","N-8-0-0",60,2,NA,NA,NA,0.94462304
"200",25,"N","Cranberry litter",1.912,2.273,0.36,1.883,"Belanger","A9","Organic","N-8-0-0",45,1,48.805,0.73177,0.0297,0.95663096
"201",26,"N","Cranberry litter",1.883,2.245,0.362,1.803,"Belanger","A9","Organic","N-8-0-0",45,1,44.703,0.71701,0.0336,0.94212139
"202",27,"N","Cranberry litter",1.902,2.26,0.358,1.883,"Belanger","A9","Organic","N-8-0-0",45,1,47.862,0.67527,0.0396,0.95162766
"203",28,"N","Cranberry litter",1.906,2.266,0.36,1.871,"Belanger","A9","Organic","N-8-0-0",45,2,49.136,0.73081,0.0327,0.95362898
"204",29,"N","Cranberry litter",1.922,2.285,0.365,1.898,"Belanger","A9","Organic","N-8-0-0",45,2,49.434,0.68146,0.0303,0.96163426
"205",30,"N","Cranberry litter",1.934,2.294,0.361,1.976,"Belanger","A9","Organic","N-8-0-0",45,2,48.038,0.73257,0.0338,0.96763822
"206",331,"N","Cranberry litter",1.929,2.294,0.361,1.96,"Fortier","9","Conventional","N-21-0-0",30,1,47.902,0.74365,0.0259,0.96513657
"207",332,"N","Cranberry litter",1.909,2.278,0.369,1.822,"Fortier","9","Conventional","N-21-0-0",30,1,47.69,0.81769,0.0339,0.95512997
"208",333,"N","Cranberry litter",1.893,2.257,0.363,NA,"Fortier","9","Conventional","N-21-0-0",30,1,NA,NA,NA,0.94712469
"209",334,"N","Cranberry litter",1.91,2.271,0.361,1.819,"Fortier","9","Conventional","N-21-0-0",30,2,49.115,0.80071,0.0352,0.9556303
"210",335,"N","Cranberry litter",1.912,2.278,0.366,NA,"Fortier","9","Conventional","N-21-0-0",30,2,NA,NA,NA,0.95663096
"211",336,"N","Cranberry litter",1.927,2.295,0.368,NA,"Fortier","9","Conventional","N-21-0-0",30,2,NA,NA,NA,0.96413591
"212",337,"N","Cranberry litter",1.935,2.297,0.361,1.731,"Fortier","9","Conventional","N-21-0-0",45,1,47.781,0.74129,0.0312,0.96813855
"213",338,"N","Cranberry litter",1.924,2.284,0.362,1.874,"Fortier","9","Conventional","N-21-0-0",45,1,48.75,0.73854,0.0333,0.96263492
"214",339,"N","Cranberry litter",1.937,2.301,0.364,1.884,"Fortier","9","Conventional","N-21-0-0",45,1,49.084,0.77523,0.0249,0.96913921
"215",340,"N","Cranberry litter",1.899,2.261,0.361,1.866,"Fortier","9","Conventional","N-21-0-0",45,2,48.213,0.7071,0.0307,0.95012667
"216",341,"N","Cranberry litter",1.904,2.268,0.362,1.893,"Fortier","9","Conventional","N-21-0-0",45,2,49.776,0.73846,0.0326,0.95262832
"217",342,"N","Cranberry litter",1.885,2.252,0.365,NA,"Fortier","9","Conventional","N-21-0-0",45,2,NA,NA,NA,0.94312205
"218",343,"N","Cranberry litter",1.917,2.286,0.368,1.83,"Fortier","9","Conventional","N-21-0-0",60,1,49.694,0.82165,0.0434,0.95913261
"219",344,"N","Cranberry litter",1.886,2.25,0.365,NA,"Fortier","9","Conventional","N-21-0-0",60,1,NA,NA,NA,0.94362238
"220",345,"N","Cranberry litter",1.885,2.25,0.364,1.815,"Fortier","9","Conventional","N-21-0-0",60,1,50.385,0.74599,0.0337,0.94312205
"221",346,"N","Cranberry litter",1.936,2.3,0.363,NA,"Fortier","9","Conventional","N-21-0-0",60,2,NA,NA,NA,0.96863888
"222",347,"N","Cranberry litter",1.911,2.274,0.363,1.898,"Fortier","9","Conventional","N-21-0-0",60,2,49.95,0.73899,0.0251,0.95613063
"223",348,"N","Cranberry litter",1.927,2.288,0.363,1.628,"Fortier","9","Conventional","N-21-0-0",60,2,48.318,0.7679,0.0442,0.96413591
"224",463,"N","Cranberry litter",1.891,2.252,0.36,1.815,"Fortier","45","Conventional","N-21-0-0",30,1,49.181,0.78571,0.0789,0.94612403
"225",464,"N","Cranberry litter",1.922,2.293,0.37,2.131,"Fortier","45","Conventional","N-21-0-0",30,1,44.097,0.71374,0.0741,0.96163426
"226",465,"N","Cranberry litter",1.905,2.27,0.363,1.798,"Fortier","45","Conventional","N-21-0-0",30,1,49.625,0.78517,0.069,0.95312865
"227",466,"N","Cranberry litter",1.918,2.287,0.369,1.791,"Fortier","45","Conventional","N-21-0-0",30,2,49.171,0.77354,0.0716,0.95963294
"228",467,"N","Cranberry litter",1.886,2.251,0.366,2.091,"Fortier","45","Conventional","N-21-0-0",30,2,40.626,0.63584,0.0688,0.94362238
"229",468,"N","Cranberry litter",1.889,2.256,0.367,1.837,"Fortier","45","Conventional","N-21-0-0",30,2,47.785,0.822,0.0765,0.94512337
"230",469,"N","Cranberry litter",1.927,2.29,0.361,1.808,"Fortier","45","Conventional","N-21-0-0",45,1,49.319,0.79053,0.0783,0.96413591
"231",470,"N","Cranberry litter",1.919,2.289,0.371,1.911,"Fortier","45","Conventional","N-21-0-0",45,1,47.425,0.82853,0.0708,0.96013327
"232",471,"N","Cranberry litter",1.885,2.252,0.367,1.984,"Fortier","45","Conventional","N-21-0-0",45,1,45.781,0.68101,0.067,0.94312205
"233",472,"N","Cranberry litter",1.882,2.242,0.359,1.811,"Fortier","45","Conventional","N-21-0-0",45,2,50.293,0.72939,0.0627,0.94162106
"234",473,"N","Cranberry litter",1.916,2.279,0.363,1.85,"Fortier","45","Conventional","N-21-0-0",45,2,49.674,0.75357,0.065,0.95863228
"235",474,"N","Cranberry litter",1.886,2.252,0.361,1.7,"Fortier","45","Conventional","N-21-0-0",45,2,44.719,0.75477,0.0766,0.94362238
"236",475,"N","Cranberry litter",1.895,2.257,0.362,1.841,"Fortier","45","Conventional","N-21-0-0",60,1,49.616,0.75621,0.0689,0.94812535
"237",476,"N","Cranberry litter",1.907,2.271,0.362,1.88,"Fortier","45","Conventional","N-21-0-0",60,1,49.886,0.7456,0.0694,0.95412931
"238",477,"N","Cranberry litter",1.918,2.277,0.359,1.952,"Fortier","45","Conventional","N-21-0-0",60,1,48.854,0.7294,0.0763,0.95963294
"239",478,"N","Cranberry litter",1.9,2.261,0.36,1.864,"Fortier","45","Conventional","N-21-0-0",60,2,49.311,0.72942,0.0704,0.950627
"240",479,"N","Cranberry litter",1.928,2.293,0.365,1.902,"Fortier","45","Conventional","N-21-0-0",60,2,48.851,0.74198,0.0728,0.96463624
"241",480,"N","Cranberry litter",1.903,2.267,0.364,1.22,"Fortier","45","Conventional","N-21-0-0",60,2,47.936,0.81759,0.0751,0.95212799
"242",721,"N","Cranberry litter",1.905,2.257,0.352,1.868,"Fortier","9","Conventional","N-SCU",30,2,49.383,0.79523,0.0355,0.95312865
"243",722,"N","Cranberry litter",1.916,2.285,0.367,1.937,"Fortier","9","Conventional","N-SCU",30,2,48.942,0.75847,0.0285,0.95863228
"244",723,"N","Cranberry litter",1.933,2.305,0.367,2.088,"Fortier","9","Conventional","N-SCU",45,2,44.062,0.68259,0.029,0.96713789
"245",724,"N","Cranberry litter",1.917,2.277,0.36,1.896,"Fortier","9","Conventional","N-SCU",45,2,48.704,0.75821,0.0328,0.95913261
"246",725,"N","Cranberry litter",1.908,2.267,0.358,NA,"Fortier","9","Conventional","N-SCU",60,2,NA,NA,NA,0.95462964
"247",726,"N","Cranberry litter",1.935,2.306,0.368,1.903,"Fortier","9","Conventional","N-SCU",60,2,48.743,0.78336,0.0377,0.96813855
"248",727,"N","Cranberry litter",1.931,2.303,0.368,1.887,"Belanger","10","Conventional","N-SCU",45,2,50.52,0.75327,0.0403,0.96613723
"249",728,"N","Cranberry litter",1.905,2.272,0.368,1.837,"Belanger","10","Conventional","N-SCU",45,2,50.972,0.7579,0.0362,0.95312865
"250",729,"N","Cranberry litter",1.911,2.272,0.362,1.839,"Belanger","10","Conventional","N-SCU",60,2,50.515,0.79619,0.0465,0.95613063
"251",730,"N","Cranberry litter",1.899,2.258,0.359,1.829,"Belanger","10","Conventional","N-SCU",60,2,50.51,0.74052,0.0416,0.95012667
"252",731,"N","Cranberry litter",1.897,2.264,0.367,1.757,"Belanger","10","Conventional","N-SCU",30,NA,49.552,0.67492,0.0407,0.94912601
"253",732,"N","Cranberry litter",1.919,2.283,0.365,1.889,"Belanger","10","Conventional","N-SCU",30,NA,50.478,0.72437,0.0503,0.96013327
"254",790,"N","Cranberry litter",1.897,2.254,0.357,1.817,"Belanger","10","Conventional","N-21-0-0",30,NA,48.498,0.66089,0.0439,0.94912601
"255",791,"N","Cranberry litter",1.902,2.262,0.359,1.814,"Belanger","10","Conventional","N-21-0-0",30,NA,50.649,0.70107,0.031,0.95162766
"256",792,"N","Cranberry litter",1.885,2.245,0.358,1.812,"Belanger","10","Conventional","N-21-0-0",30,NA,49.216,0.66367,0.041,0.94312205
"257",793,"N","Cranberry litter",1.919,2.287,0.368,1.813,"Belanger","10","Conventional","N-21-0-0",30,NA,50.265,0.70161,0.044,0.96013327
"258",794,"N","Cranberry litter",1.893,2.258,0.366,1.83,"Belanger","10","Conventional","N-21-0-0",30,NA,50.686,0.07112,0.0438,0.94712469
"259",795,"N","Cranberry litter",1.908,2.275,0.366,1.838,"Belanger","10","Conventional","N-21-0-0",30,NA,51.144,-0.00474,0.0436,0.95462964
"260",796,"N","Cranberry litter",1.905,2.269,0.364,1.865,"Belanger","10","Conventional","N-21-0-0",45,NA,49.499,-0.23026,0.034,0.95312865
"261",797,"N","Cranberry litter",1.898,2.258,0.36,1.826,"Belanger","10","Conventional","N-21-0-0",45,NA,50.932,-0.28669,0.0365,0.94962634
"262",798,"N","Cranberry litter",1.897,2.258,0.361,1.821,"Belanger","10","Conventional","N-21-0-0",45,NA,51.692,-0.32991,0.033,0.94912601
"263",799,"N","Cranberry litter",1.912,2.271,0.359,1.855,"Belanger","10","Conventional","N-21-0-0",45,NA,50.784,0.51994,0.0433,0.95663096
"264",800,"N","Cranberry litter",1.881,2.249,0.368,1.821,"Belanger","10","Conventional","N-21-0-0",45,NA,49.604,0.61171,0.0535,0.94112073
"265",801,"N","Cranberry litter",1.914,2.282,0.368,1.858,"Belanger","10","Conventional","N-21-0-0",45,NA,51.459,0.58283,0.044,0.95763162
"266",802,"N","Cranberry litter",1.892,2.254,0.362,1.828,"Belanger","10","Conventional","N-21-0-0",60,NA,50.216,0.59828,0.0428,0.94662436
"267",803,"N","Cranberry litter",1.922,2.287,0.363,1.859,"Belanger","10","Conventional","N-21-0-0",60,NA,50.846,0.57065,0.0451,0.96163426
"268",804,"N","Cranberry litter",1.914,2.28,0.366,1.859,"Belanger","10","Conventional","N-21-0-0",60,NA,51.053,0.13744,0.0431,0.95763162
"269",805,"N","Cranberry litter",1.93,2.291,0.361,1.889,"Belanger","10","Conventional","N-21-0-0",60,NA,51.121,0.31307,0.0382,0.9656369
"270",806,"N","Cranberry litter",1.938,2.3,0.362,1.873,"Belanger","10","Conventional","N-21-0-0",60,NA,50.687,0.42383,0.0469,0.96963954
"271",807,"N","Cranberry litter",1.923,2.291,0.368,1.841,"Belanger","10","Conventional","N-21-0-0",60,NA,51.005,0.47352,0.0375,0.96213459
