No,Tea type abbr,Tea type,Initial tea weight (g),Initial total weight (g),Initial bag weight (g),Remaining tea weight (g),Farm,Site,Farming system,Nitrogen type,Nitrogen dose,Repetition,Remaining C (%),Remaining N (%),Remaining S (%),Initial C fraction
1,G,Green tea,1.793,2.019,0.226,0.783,Belanger,A9,Organic,N-8-0-0,0,1,50.144,5.2809,0.29,0.860544373
2,G,Green tea,1.786,2.011,0.225,0.797,Belanger,A9,Organic,N-8-0-0,0,1,50.933,4.4082,0.251,0.857184747
3,G,Green tea,1.782,2.008,0.228,,Belanger,A9,Organic,N-8-0-0,0,1,,,,0.85526496
4,G,Green tea,1.76,1.987,0.227,0.778,Belanger,A9,Organic,N-8-0-0,0,2,50.292,5.4397,0.296,0.844706133
5,G,Green tea,1.788,2.013,0.226,0.779,Belanger,A9,Organic,N-8-0-0,0,2,47.718,4.8735,0.277,0.85814464
6,G,Green tea,1.779,2.004,0.227,,Belanger,A9,Organic,N-8-0-0,0,2,,,,0.85382512
7,G,Green tea,1.799,2.025,0.227,0.793,Belanger,A9,Organic,N-8-0-0,15,1,49.86,5.2671,0.277,0.863424053
8,G,Green tea,1.761,1.985,0.228,0.783,Belanger,A9,Organic,N-8-0-0,15,1,50.174,5.2419,0.289,0.84518608
9,G,Green tea,1.782,2.008,0.226,0.717,Belanger,A9,Organic,N-8-0-0,15,1,49.667,5.0409,0.288,0.85526496
10,G,Green tea,1.758,1.985,0.226,0.812,Belanger,A9,Organic,N-8-0-0,15,2,49.526,5.3365,0.277,0.84374624
11,G,Green tea,1.793,2.018,0.227,0.77,Belanger,A9,Organic,N-8-0-0,15,2,49.098,4.84,0.268,0.860544373
12,G,Green tea,1.797,2.023,0.227,0.714,Belanger,A9,Organic,N-8-0-0,15,2,50.008,4.6352,0.281,0.86246416
13,G,Green tea,1.799,2.024,0.226,,Belanger,A9,Organic,N-8-0-0,30,1,,,,0.863424053
14,G,Green tea,1.798,2.027,0.229,0.768,Belanger,A9,Organic,N-8-0-0,30,1,49.661,5.2464,0.286,0.862944107
15,G,Green tea,1.795,2.023,0.228,,Belanger,A9,Organic,N-8-0-0,30,1,,,,0.861504267
16,G,Green tea,1.769,1.996,0.228,0.743,Belanger,A9,Organic,N-8-0-0,30,2,50.512,5.2547,0.292,0.849025653
17,G,Green tea,1.766,1.994,0.227,0.804,Belanger,A9,Organic,N-8-0-0,30,2,49.708,5.0434,0.275,0.847585813
18,G,Green tea,1.792,2.019,0.227,0.833,Belanger,A9,Organic,N-8-0-0,30,2,49.638,5.0262,0.279,0.860064427
19,G,Green tea,1.766,1.992,0.226,0.7,Belanger,A9,Organic,N-8-0-0,45,1,48.953,4.9144,0.285,0.847585813
20,G,Green tea,1.781,2.007,0.226,0.809,Belanger,A9,Organic,N-8-0-0,45,1,50.151,4.3896,0.258,0.854785013
21,G,Green tea,1.765,1.994,0.228,0.723,Belanger,A9,Organic,N-8-0-0,45,1,50.076,3.7431,0.23,0.847105867
22,G,Green tea,1.774,2.002,0.229,,Belanger,A9,Organic,N-8-0-0,45,2,,,,0.851425387
23,G,Green tea,1.779,2.007,0.228,0.751,Belanger,A9,Organic,N-8-0-0,45,2,49.958,5.1213,0.285,0.85382512
24,G,Green tea,1.771,1.998,0.226,1.291,Belanger,A9,Organic,N-8-0-0,45,2,,,,0.849985547
25,G,Green tea,1.797,2.023,0.226,0.859,Belanger,A9,Organic,N-8-0-0,60,1,49.798,3.9277,0.238,0.86246416
26,G,Green tea,1.793,2.02,0.227,0.789,Belanger,A9,Organic,N-8-0-0,60,1,,,,0.860544373
27,G,Green tea,1.771,2,0.229,,Belanger,A9,Organic,N-8-0-0,60,1,,,,0.849985547
28,G,Green tea,1.792,2.019,0.227,0.828,Belanger,A9,Organic,N-8-0-0,60,2,50.266,3.9173,0.257,0.860064427
29,G,Green tea,1.766,1.994,0.228,0.774,Belanger,A9,Organic,N-8-0-0,60,2,49.6,5.325,0.284,0.847585813
30,G,Green tea,1.787,2.015,0.227,0.826,Belanger,A9,Organic,N-8-0-0,60,2,50.567,4.8376,0.266,0.857664693
31,G,Green tea,1.778,2.002,0.226,0.744,Belanger,A9,Organic,N-6-1-1,60,2,50.361,4.9564,0.272,0.853345173
32,G,Green tea,1.751,1.979,0.228,,Belanger,A9,Organic,N-6-1-1,60,2,,,,0.840386613
33,G,Green tea,1.789,2.016,0.227,0.803,Belanger,A9,Organic,N-6-1-1,45,2,49.746,5.2747,0.288,0.858624587
34,G,Green tea,1.76,1.988,0.228,1.316,Belanger,A9,Organic,N-6-1-1,45,2,50.147,5.3952,0.282,0.844706133
35,G,Green tea,1.786,2.015,0.228,0.799,Belanger,A9,Organic,N-6-1-1,30,2,47.897,4.8253,0.258,0.857184747
36,G,Green tea,1.792,2.019,0.227,0.813,Belanger,A9,Organic,N-6-1-1,30,2,48.915,4.7691,0.272,0.860064427
1,S,Rooibos tea,1.905,2.134,0.229,1.534,Belanger,A9,Organic,N-8-0-0,0,1,44.624,0.60046,0.0299,0.91043125
2,S,Rooibos tea,1.892,2.118,0.226,1.497,Belanger,A9,Organic,N-8-0-0,0,1,46.169,0.949,0.0424,0.904218333
3,S,Rooibos tea,1.895,2.122,0.228,1.342,Belanger,A9,Organic,N-8-0-0,0,1,49.264,0.72601,0.0337,0.905652083
4,S,Rooibos tea,1.907,2.138,0.231,1.308,Belanger,A9,Organic,N-8-0-0,0,2,50.991,0.94623,0.0415,0.911387083
5,S,Rooibos tea,1.91,2.137,0.227,1.532,Belanger,A9,Organic,N-8-0-0,0,2,49.04,0.88699,0.0355,0.912820833
6,S,Rooibos tea,1.908,2.136,0.229,1.495,Belanger,A9,Organic,N-8-0-0,0,2,49.675,0.74179,0.0192,0.911865
7,S,Rooibos tea,1.912,2.14,0.229,1.501,Belanger,A9,Organic,N-8-0-0,15,1,45.787,0.57047,0.0206,0.913776667
8,S,Rooibos tea,1.908,2.134,0.226,1.394,Belanger,A9,Organic,N-8-0-0,15,1,44.64,0.70596,0.0313,0.911865
9,S,Rooibos tea,1.913,2.141,0.228,1.464,Belanger,A9,Organic,N-8-0-0,15,1,50.335,0.79185,0.0283,0.914254583
10,S,Rooibos tea,1.918,2.145,0.227,1.486,Belanger,A9,Organic,N-8-0-0,15,2,48.573,0.71159,0.0213,0.916644167
11,S,Rooibos tea,1.901,2.13,0.228,1.351,Belanger,A9,Organic,N-8-0-0,15,2,45.679,0.78026,0.0407,0.908519583
12,S,Rooibos tea,1.899,2.129,0.23,1.362,Belanger,A9,Organic,N-8-0-0,15,2,46.548,0.79404,0.0271,0.90756375
13,S,Rooibos tea,1.896,2.126,0.23,1.507,Belanger,A9,Organic,N-8-0-0,30,1,45.6,0.69923,0.0254,0.90613
14,S,Rooibos tea,1.91,2.137,0.227,1.459,Belanger,A9,Organic,N-8-0-0,30,1,46.94,0.84806,0.0356,0.912820833
15,S,Rooibos tea,1.918,2.146,0.228,1.465,Belanger,A9,Organic,N-8-0-0,30,1,46.415,0.83329,0.042,0.916644167
16,S,Rooibos tea,1.901,2.13,0.23,1.39,Belanger,A9,Organic,N-8-0-0,30,2,46.451,0.82498,0.0311,0.908519583
17,S,Rooibos tea,1.899,2.127,0.228,1.444,Belanger,A9,Organic,N-8-0-0,30,2,45.502,0.7767,0.0318,0.90756375
18,S,Rooibos tea,1.904,2.132,0.227,1.398,Belanger,A9,Organic,N-8-0-0,30,2,43.972,0.63764,0.0254,0.909953333
19,S,Rooibos tea,1.91,2.138,0.228,1.318,Belanger,A9,Organic,N-8-0-0,45,1,50.197,1.0435,0.0386,0.912820833
20,S,Rooibos tea,1.897,2.128,0.231,,Belanger,A9,Organic,N-8-0-0,45,1,,,,0.906607917
21,S,Rooibos tea,1.917,2.143,0.226,1.442,Belanger,A9,Organic,N-8-0-0,45,1,46.684,0.68682,0.0198,0.91616625
22,S,Rooibos tea,1.918,2.145,0.228,1.394,Belanger,A9,Organic,N-8-0-0,45,2,48.972,0.58367,0.015,0.916644167
23,S,Rooibos tea,1.893,2.122,0.229,1.473,Belanger,A9,Organic,N-8-0-0,45,2,49.874,0.72113,0.0214,0.90469625
24,S,Rooibos tea,1.914,2.141,0.227,,Belanger,A9,Organic,N-8-0-0,45,2,,,,0.9147325
25,S,Rooibos tea,1.895,2.122,0.226,1.394,Belanger,A9,Organic,N-8-0-0,60,1,45.871,0.67665,0.0344,0.905652083
26,S,Rooibos tea,1.919,2.143,0.226,1.464,Belanger,A9,Organic,N-8-0-0,60,1,47.175,0.65084,0.0179,0.917122083
27,S,Rooibos tea,1.896,2.123,0.226,1.448,Belanger,A9,Organic,N-8-0-0,60,1,49.636,0.98351,0.0378,0.90613
28,S,Rooibos tea,1.918,2.145,0.227,1.463,Belanger,A9,Organic,N-8-0-0,60,2,47.1,0.83206,0.0364,0.916644167
29,S,Rooibos tea,1.914,2.141,0.227,1.41,Belanger,A9,Organic,N-8-0-0,60,2,47.463,0.6474,0.0184,0.9147325
30,S,Rooibos tea,1.916,2.142,0.227,,Belanger,A9,Organic,N-8-0-0,60,2,44.325,0.62286,0.0186,0.915688333
31,S,Rooibos tea,1.918,2.145,0.226,1.453,Belanger,A9,Organic,N-6-1-1,60,2,44.485,0.61915,0.0206,0.916644167
32,S,Rooibos tea,1.891,2.118,0.227,1.286,Belanger,A9,Organic,N-6-1-1,60,2,42.687,0.89221,0.0463,0.903740417
33,S,Rooibos tea,1.9,2.125,0.226,1.322,Belanger,A9,Organic,N-6-1-1,45,2,45.836,0.82029,0.0359,0.908041667
34,S,Rooibos tea,1.904,2.132,0.227,1.439,Belanger,A9,Organic,N-6-1-1,45,2,47.973,0.7155,0.0226,0.909953333
35,S,Rooibos tea,1.894,2.122,0.228,1.502,Belanger,A9,Organic,N-6-1-1,30,2,48.809,0.93119,0.0366,0.905174167
36,S,Rooibos tea,1.92,2.146,0.226,1.489,Belanger,A9,Organic,N-6-1-1,30,2,43.227,0.64575,0.0269,0.9176
154,G,Green tea,1.785,2.013,0.227,0.735,Belanger,10,Conventional,N-21-0-0,0,1,49.195,4.4527,0.285,0.8567048
155,G,Green tea,1.794,2.022,0.227,0.741,Belanger,10,Conventional,N-21-0-0,0,1,49.597,4.5696,0.268,0.86102432
156,G,Green tea,1.777,2.004,0.226,0.74,Belanger,10,Conventional,N-21-0-0,0,1,51.106,4.9976,0.284,0.852865227
157,G,Green tea,1.756,1.984,0.227,0.729,Belanger,10,Conventional,N-21-0-0,0,2,51.235,5.2712,0.293,0.842786347
158,G,Green tea,1.76,1.983,0.224,0.805,Belanger,10,Conventional,N-21-0-0,0,2,50.208,4.5702,0.257,0.844706133
159,G,Green tea,1.799,2.024,0.225,0.743,Belanger,10,Conventional,N-21-0-0,0,2,51.081,4.7911,0.289,0.863424053
160,G,Green tea,1.756,1.983,0.228,,Belanger,10,Conventional,N-21-0-0,15,1,,,,0.842786347
161,G,Green tea,1.76,1.988,0.228,0.674,Belanger,10,Conventional,N-21-0-0,15,1,50.972,5.1357,0.288,0.844706133
162,G,Green tea,1.771,1.998,0.226,0.739,Belanger,10,Conventional,N-21-0-0,15,1,51.06,4.6679,0.314,0.849985547
163,G,Green tea,1.781,2.011,0.23,0.775,Belanger,10,Conventional,N-21-0-0,15,2,50.399,4.6103,0.269,0.854785013
164,G,Green tea,1.793,2.021,0.227,0.764,Belanger,10,Conventional,N-21-0-0,15,2,48.346,4.2203,0.278,0.860544373
165,G,Green tea,1.784,2.01,0.226,0.836,Belanger,10,Conventional,N-21-0-0,15,2,50.908,4.828,0.256,0.856224853
166,G,Green tea,1.786,2.013,0.227,0.658,Belanger,10,Conventional,N-21-0-0,30,1,51.581,4.4809,0.259,0.857184747
167,G,Green tea,1.776,2.003,0.227,0.751,Belanger,10,Conventional,N-21-0-0,30,1,50.195,3.946,0.243,0.85238528
168,G,Green tea,1.788,2.013,0.227,0.732,Belanger,10,Conventional,N-21-0-0,30,1,51.353,4.4647,0.26,0.85814464
169,G,Green tea,1.781,2.008,0.227,,Belanger,10,Conventional,N-21-0-0,30,1,,,,0.854785013
170,G,Green tea,1.78,2.007,0.227,0.616,Belanger,10,Conventional,N-21-0-0,30,2,51.042,4.739,0.277,0.854305067
171,G,Green tea,1.761,1.99,0.229,0.778,Belanger,10,Conventional,N-21-0-0,30,2,49.976,4.9552,0.276,0.84518608
172,G,Green tea,1.76,1.983,0.226,0.645,Belanger,10,Conventional,N-21-0-0,30,2,47.521,4.1047,0.243,0.844706133
173,G,Green tea,1.77,1.998,0.228,0.801,Belanger,10,Conventional,N-21-0-0,45,1,49.761,4.9617,0.268,0.8495056
174,G,Green tea,1.769,1.995,0.227,0.765,Belanger,10,Conventional,N-21-0-0,45,1,49.665,4.652,0.27,0.849025653
175,G,Green tea,1.765,1.993,0.228,0.723,Belanger,10,Conventional,N-21-0-0,45,1,51.41,4.7341,0.265,0.847105867
176,G,Green tea,1.778,2.004,0.226,0.709,Belanger,10,Conventional,N-21-0-0,45,2,50.389,4.8017,0.272,0.853345173
177,G,Green tea,1.781,2.008,0.228,0.803,Belanger,10,Conventional,N-21-0-0,45,2,51.256,4.9288,0.28,0.854785013
178,G,Green tea,1.793,2.022,0.228,0.714,Belanger,10,Conventional,N-21-0-0,45,2,50.469,4.6108,0.261,0.860544373
179,G,Green tea,1.786,2.012,0.226,0.744,Belanger,10,Conventional,N-21-0-0,60,1,49.823,4.501,0.263,0.857184747
180,G,Green tea,1.799,2.023,0.224,0.851,Belanger,10,Conventional,N-21-0-0,60,1,49.642,4.3622,0.245,0.863424053
181,G,Green tea,1.766,1.995,0.229,0.702,Belanger,10,Conventional,N-21-0-0,60,1,49.494,4.2817,0.257,0.847585813
182,G,Green tea,1.754,1.981,0.228,0.769,Belanger,10,Conventional,N-21-0-0,60,2,50.26,4.6585,0.251,0.841826453
183,G,Green tea,1.77,1.997,0.227,0.74,Belanger,10,Conventional,N-21-0-0,60,2,49.869,4.6119,0.258,0.8495056
184,G,Green tea,1.796,2.019,0.227,,Belanger,10,Conventional,N-21-0-0,60,2,,,,0.861984213
185,G,Green tea,1.787,2.012,0.227,0.714,Belanger,10,Conventional,N-SCU,45,2,49.986,4.2273,0.262,0.857664693
186,G,Green tea,1.777,2.002,0.225,0.692,Belanger,10,Conventional,N-SCU,45,2,51.621,4.7403,0.261,0.852865227
187,G,Green tea,1.791,2.018,0.227,0.732,Belanger,10,Conventional,N-SCU,60,2,50.99,5.2118,0.286,0.85958448
188,G,Green tea,1.773,2.001,0.229,0.784,Belanger,10,Conventional,N-SCU,60,2,48.909,4.4888,0.262,0.85094544
189,G,Green tea,1.792,2.022,0.229,0.734,Belanger,10,Conventional,N-SCU,30,2,51.244,4.4671,0.26,0.860064427
190,G,Green tea,1.783,2.011,0.227,0.825,Belanger,10,Conventional,N-SCU,30,2,48.862,4.2277,0.279,0.855744907
118,S,Rooibos tea,1.905,2.135,0.23,1.509,Belanger,10,Conventional,N-21-0-0,0,1,47.458,0.85638,0.026,0.91043125
119,S,Rooibos tea,1.904,2.129,0.225,1.364,Belanger,10,Conventional,N-21-0-0,0,1,47.836,1.3244,0.0712,0.909953333
120,S,Rooibos tea,1.897,2.123,0.225,,Belanger,10,Conventional,N-21-0-0,0,1,,,,0.906607917
121,S,Rooibos tea,1.892,2.12,0.228,1.402,Belanger,10,Conventional,N-21-0-0,0,2,45.378,0.77073,0.0344,0.904218333
122,S,Rooibos tea,1.909,2.135,0.226,1.474,Belanger,10,Conventional,N-21-0-0,0,2,46.663,0.84813,0.024,0.912342917
123,S,Rooibos tea,1.896,2.123,0.227,1.439,Belanger,10,Conventional,N-21-0-0,0,2,49.898,0.9809,0.0464,0.90613
124,S,Rooibos tea,1.898,2.124,0.226,1.366,Belanger,10,Conventional,N-21-0-0,15,1,46.603,1.0737,0.053,0.907085833
125,S,Rooibos tea,1.91,2.136,0.227,,Belanger,10,Conventional,N-21-0-0,15,1,47.75,1.0111,0.0521,0.912820833
126,S,Rooibos tea,1.905,2.13,0.226,1.525,Belanger,10,Conventional,N-21-0-0,15,1,49.251,0.9424,0.0321,0.91043125
127,S,Rooibos tea,1.891,2.117,0.227,1.584,Belanger,10,Conventional,N-21-0-0,15,2,48.413,0.92218,0.028,0.903740417
128,S,Rooibos tea,1.899,2.127,0.229,1.405,Belanger,10,Conventional,N-21-0-0,15,2,49.605,1.1183,0.0352,0.90756375
129,S,Rooibos tea,1.89,2.117,0.228,1.496,Belanger,10,Conventional,N-21-0-0,15,2,50.334,0.91735,0.0348,0.9032625
130,S,Rooibos tea,1.908,2.134,0.225,1.574,Belanger,10,Conventional,N-21-0-0,30,1,49.238,0.85701,0.024,0.911865
131,S,Rooibos tea,1.916,2.142,0.226,1.565,Belanger,10,Conventional,N-21-0-0,30,1,47.384,1.009,0.0392,0.915688333
132,S,Rooibos tea,1.891,2.116,0.226,1.573,Belanger,10,Conventional,N-21-0-0,30,1,50.184,0.85323,0.0354,0.903740417
133,S,Rooibos tea,1.906,2.132,0.225,1.446,Belanger,10,Conventional,N-21-0-0,30,2,48.252,0.99285,0.0532,0.910909167
134,S,Rooibos tea,1.909,2.136,0.228,1.566,Belanger,10,Conventional,N-21-0-0,30,2,49.42,1.1357,0.0442,0.912342917
135,S,Rooibos tea,1.906,2.132,0.227,1.54,Belanger,10,Conventional,N-21-0-0,30,2,46.033,0.9933,0.0372,0.910909167
136,S,Rooibos tea,1.913,2.139,0.226,1.571,Belanger,10,Conventional,N-21-0-0,45,1,46.488,0.9111,0.0319,0.914254583
137,S,Rooibos tea,1.92,2.148,0.228,1.534,Belanger,10,Conventional,N-21-0-0,45,1,50.148,1.0239,0.0309,0.9176
138,S,Rooibos tea,1.917,2.142,0.226,1.601,Belanger,10,Conventional,N-21-0-0,45,1,45.778,0.86956,0.029,0.91616625
139,S,Rooibos tea,1.893,2.119,0.226,1.406,Belanger,10,Conventional,N-21-0-0,45,2,48.147,1.0639,0.0567,0.90469625
140,S,Rooibos tea,1.893,2.117,0.225,1.349,Belanger,10,Conventional,N-21-0-0,45,2,50.116,1.189,0.0509,0.90469625
141,S,Rooibos tea,1.901,2.127,0.226,1.5,Belanger,10,Conventional,N-21-0-0,45,2,46.755,0.94695,0.0339,0.908519583
142,S,Rooibos tea,1.92,2.146,0.226,1.596,Belanger,10,Conventional,N-21-0-0,60,1,46.96,0.93495,0.0358,0.9176
143,S,Rooibos tea,1.906,2.132,0.226,1.473,Belanger,10,Conventional,N-21-0-0,60,1,47.501,0.9949,0.0502,0.910909167
144,S,Rooibos tea,1.912,2.138,0.225,1.516,Belanger,10,Conventional,N-21-0-0,60,1,49.119,1.0393,0.0401,0.913776667
145,S,Rooibos tea,1.915,2.14,0.226,1.49,Belanger,10,Conventional,N-21-0-0,60,2,45.212,0.75637,0.0304,0.915210417
146,S,Rooibos tea,1.916,2.142,0.226,1.645,Belanger,10,Conventional,N-21-0-0,60,2,46.862,0.87316,0.0246,0.915688333
147,S,Rooibos tea,1.89,2.116,0.226,1.524,Belanger,10,Conventional,N-21-0-0,60,2,46.998,1.0677,0.0375,0.9032625
148,S,Rooibos tea,1.899,2.127,0.227,1.391,Belanger,10,Conventional,N-SCU,45,2,47.002,1.0066,0.0566,0.90756375
149,S,Rooibos tea,1.912,2.139,0.227,1.446,Belanger,10,Conventional,N-SCU,45,2,46.87,0.89954,0.0337,0.913776667
150,S,Rooibos tea,1.908,2.138,0.231,1.534,Belanger,10,Conventional,N-SCU,60,2,47.358,0.97108,0.0429,0.911865
151,S,Rooibos tea,1.919,2.145,0.226,1.615,Belanger,10,Conventional,N-SCU,60,2,48.368,0.97371,0.034,0.917122083
152,S,Rooibos tea,1.903,2.129,0.226,1.598,Belanger,10,Conventional,N-SCU,30,2,46.394,0.91746,0.0356,0.909475417
153,S,Rooibos tea,1.919,2.144,0.226,1.518,Belanger,10,Conventional,N-SCU,30,2,46.134,0.99378,0.0341,0.917122083
625,G,Green tea,1.781,2.141,0.36,0.633,Fortier,9,Conventional,N-21-0-0,0,1,50.954,3.6076,0.221,0.854785013
626,G,Green tea,1.772,2.135,0.364,0.608,Fortier,9,Conventional,N-21-0-0,0,1,52.174,3.7355,0.238,0.850465493
627,G,Green tea,1.78,2.144,0.363,0.623,Fortier,9,Conventional,N-21-0-0,0,1,51.297,3.6973,0.236,0.854305067
628,G,Green tea,1.787,2.15,0.363,0.687,Fortier,9,Conventional,N-21-0-0,0,2,51.006,4.9237,0.273,0.857664693
629,G,Green tea,1.769,2.137,0.368,0.703,Fortier,9,Conventional,N-21-0-0,0,2,52.188,5.9643,0.313,0.849025653
630,G,Green tea,1.791,2.151,0.36,0.637,Fortier,9,Conventional,N-21-0-0,0,2,51.208,4.8411,0.291,0.85958448
631,G,Green tea,1.767,2.128,0.361,0.593,Fortier,9,Conventional,N-21-0-0,15,1,50.875,3.8465,0.251,0.84806576
632,G,Green tea,1.783,2.145,0.362,0.62,Fortier,9,Conventional,N-21-0-0,15,1,49.996,4.1287,0.264,0.855744907
633,G,Green tea,1.765,2.126,0.361,,Fortier,9,Conventional,N-21-0-0,15,1,,,,0.847105867
634,G,Green tea,1.77,2.132,0.363,,Fortier,9,Conventional,N-21-0-0,15,2,,,,0.8495056
635,G,Green tea,1.784,2.148,0.364,0.645,Fortier,9,Conventional,N-21-0-0,15,2,49.588,3.8118,0.245,0.856224853
636,G,Green tea,1.756,2.118,0.363,0.587,Fortier,9,Conventional,N-21-0-0,15,2,49.44,4.3575,0.28,0.842786347
637,G,Green tea,1.785,2.152,0.365,0.702,Fortier,9,Conventional,N-21-0-0,30,1,42.055,4.0556,0.232,0.8567048
638,G,Green tea,1.778,2.144,0.366,0.582,Fortier,9,Conventional,N-21-0-0,30,1,50.02,4.3624,0.272,0.853345173
639,G,Green tea,1.8,2.161,0.361,0.669,Fortier,9,Conventional,N-21-0-0,30,1,49.777,4.8316,0.272,0.863904
640,G,Green tea,1.796,2.154,0.357,0.784,Fortier,9,Conventional,N-21-0-0,30,2,50.58,5.1024,0.285,0.861984213
641,G,Green tea,1.754,2.117,0.363,0.629,Fortier,9,Conventional,N-21-0-0,30,2,49.088,4.4936,0.272,0.841826453
642,G,Green tea,1.751,2.111,0.36,0.592,Fortier,9,Conventional,N-21-0-0,30,2,50.609,4.0937,0.259,0.840386613
643,G,Green tea,1.789,2.148,0.359,0.682,Fortier,9,Conventional,N-21-0-0,45,1,46.35,3.4626,0.222,0.858624587
644,G,Green tea,1.759,2.121,0.361,0.572,Fortier,9,Conventional,N-21-0-0,45,1,48.103,3.8768,0.243,0.844226187
645,G,Green tea,1.759,2.131,0.371,0.579,Fortier,9,Conventional,N-21-0-0,45,1,51.263,3.97,0.263,0.844226187
646,G,Green tea,1.768,2.127,0.36,0.694,Fortier,9,Conventional,N-21-0-0,45,2,49.448,4.7202,0.272,0.848545707
647,G,Green tea,1.783,2.148,0.365,0.564,Fortier,9,Conventional,N-21-0-0,45,2,50.994,4.0679,0.252,0.855744907
648,G,Green tea,1.79,2.155,0.365,0.851,Fortier,9,Conventional,N-21-0-0,45,2,48.724,4.8823,0.262,0.859104533
649,G,Green tea,1.776,2.136,0.361,0.678,Fortier,9,Conventional,N-21-0-0,60,1,47.983,3.2594,0.231,0.85238528
650,G,Green tea,1.753,2.115,0.361,,Fortier,9,Conventional,N-21-0-0,60,1,,,,0.841346507
651,G,Green tea,1.77,2.132,0.362,,Fortier,9,Conventional,N-21-0-0,60,1,,,,0.8495056
652,G,Green tea,1.799,2.162,0.363,0.677,Fortier,9,Conventional,N-21-0-0,60,2,44.782,3.2432,0.21,0.863424053
653,G,Green tea,1.79,2.149,0.36,0.709,Fortier,9,Conventional,N-21-0-0,60,2,48.637,3.799,0.219,0.859104533
654,G,Green tea,1.791,2.146,0.355,0.467,Fortier,9,Conventional,N-21-0-0,60,2,44.632,3.5701,0.257,0.85958448
